"Commander","Nation","Class","Base Trait Name","Base Trait Effects","Row1_Col1_Name","Row1_Col1_Effects","Row1_Col2_Name","Row1_Col2_Effects","Row1_Col3_Name","Row1_Col3_Effects","Row2_Col1_Name","Row2_Col1_Effects","Row2_Col2_Name","Row2_Col2_Effects","Row2_Col3_Name","Row2_Col3_Effects","Row3_Col1_Name","Row3_Col1_Effects","Row3_Col2_Name","Row3_Col2_Effects","Row3_Col3_Name","Row3_Col3_Effects","Row4_Col1_Name","Row4_Col1_Effects","Row4_Col2_Name","Row4_Col2_Effects","Row4_Col3_Name","Row4_Col3_Effects","Row5_Col1_Name","Row5_Col1_Effects","Row5_Col2_Name","Row5_Col2_Effects","Row5_Col3_Name","Row5_Col3_Effects"
"Takeo Takagi","japan","Battleship","Phoenix","+5.0% Total HP restored by Repair Party","A Good Day's Work","-8.0% Damage Control Party reload time","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Tamon Yamaguchi","japan","Aircraft Carrier","Typhoon","+10.0% Average AA damage per second","A Good Day's Work","-8.0% Damage Control Party reload time","Swatting at Flies","+20.0% Your aircraft carrier's average AA damage per second (aircraft carrier) | +5.0% Increase destroyer SAP shell damage (destroyer)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Dark Silhouette","-12.0% Detectability of Aircraft Carriers (aircraft carrier)","One-Way Ticket","+4.0% Torpedo Damage","","","On Alert","-4.5% Rudder shift time | -15.0% Damage Control Party cooldown time","Out of Sight","-8.0% Detectability of dive bombers | +16.0% Dive bombers HP","Hidden Threat","-8.0% Detectability of torpedo bombers | +16.0% Torpedo bombers HP","Look at Me Now","-6.0% Sea detectability range","Burn, Baby, Burn!","+8.0% Chance of a fire being caused by the aircraft carrier's HE bombs (aircraft carrier) | +4.0% Aircraft carrier's HE bombs damage (aircraft carrier)","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","We Are Legion","+8.0% Airspeed of torpedo bombers | -20.0% Incoming damage to your aircraft carrier (aircraft carrier) @L7.5","",""
"Thomas Kinkaid","usa","Cruiser","Auditory Stimulus","-6.0% Sonar reload time","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Armed and Ready","+4.5% Incoming fire dispersion","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Equilibrium of Power","+30.0% Armor penetration of HE shells of your cruiser (cruiser) | -10.0% Cruiser's main gun HE shell damage (cruiser) [PENALTY] | -25.0% Chance of a fire being caused by the cruiser's HE shells (cruiser) [PENALTY]"
"Victor F. Einstein","usa","Cruiser","Whirlabout","+1.00 º/s Traverse speed of cruiser's guns","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Beyond Range","+10.0% Range of cruiser's main guns (cruiser)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","Intuitive","+5.0% Sonar duration | +5.0% Surveillance Radar duration","Igniter","+3.0% Chance of a fire being caused by the cruiser's HE shells (cruiser)","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Punch Through","+10.0% Cruiser's main gun AP shells damage (cruiser) | +6.0% Cruiser's AP shells penetration multiplier (cruiser)","","","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","Fixated","+5.0% Shell grouping of cruiser's main guns (cruiser) | -5.0% Dispersion of main battery","","","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","Refill Station","-10.0% Reload time of your cruiser's main guns (cruiser) | +10.0% Range of cruiser's main guns (cruiser) @L3.5","",""
"Vincent Mordoff","usa","Destroyer","Waste Not","-6.0% Reload time of destroyer's main guns","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","Sheltered Arms","-100.0% Risk of main battery becoming incapacitated | -100.0% Risk of torpedo launchers becoming incapacitated","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","",""
"Vladimir Trubetskoy","ussr","Destroyer","The Battle Rages On","-8.0% Incoming damage to your destroyer","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Playing with Fire","+5.0% Range of destroyer's main guns (destroyer) | +8.0% Chance of a fire being caused by the destroyer's HE shells | -30.0% Destroyer's main gun HE shells damage (destroyer) [PENALTY]","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","",""
"William Halsey","usa","Destroyer","I Mean Harm","+5.0% Destroyer's main gun AP shells damage","Contact Is Imminent","+500.0% Torpedo speed","Observant Rage","-5.0% Reload time of destroyer's main guns (destroyer) | +12.0% Torpedo detectability range | +10.0% Rudder shift time [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Look at Me Now","-6.0% Sea detectability range","Mortar","+13.0% Destroyer's main gun AP shells damage (destroyer) | +13.0% Destroyers main gun HE shells damage (destroyer) | +4.0% Detectability of destroyers (destroyer)","","","Back in Stock","-8.0% Torpedo launchers reload time","Twist n' Track","+150.0% Traverse speed of destroyer's guns (destroyer)","A Thousand Cuts","-8.0% Reload time of destroyer's main guns (destroyer) | -8.0% Reload time of secondary battery","Smoke on the Water","+8.0% Smoke screen dispersion time | +8.0% Smoke screen deployment time","Cloudy Daze","-20.0% Engine Boost reload time | -12.5% Smoke screen dispersion time [PENALTY] | -12.5% Smoke screen deployment time [PENALTY] | +10.0% Engine Boost duration","","","Unstoppable","-15.0% Engine repair time | -50.0% Damage Control Party reload time @L7.5","Leviathan","+10.0% Maximum HP | -12.0% Maximum movement speed [PENALTY] | -20.0% Rudder shift time @L7.5 | -10.0% Incoming damage to your destroyer (destroyer)","",""
"William Sims","usa","Battleship","Built to Last","+400 HP per ship tier","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Flammable Cannonier","+8.0% Range of battleship's main guns (battleship) | +5.0% Shell grouping of battleship's main guns (battleship) | +13.0% Risk of catching fire [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Gyrating Drillbits","+8.0% Battleship's main gun AP shells damage (battleship) | +120.0% Traverse speed of battleship's guns (battleship) | -7.0% Maximum battleship speed (battleship) [PENALTY]","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Marksmanship","-10.0% Dispersion of main battery | +5.0% Rudder shift time","","","Reaching Out XXL","+8.0% Range of main guns","Emergency Specialist","-30.0% Damage Control Party reload time | -70.0% Damage Control Party duration [PENALTY]","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Farsight","+15.0% Torpedo detectability range | -30.0% Torpedo damage to your ship @L3.5","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"William Tennant","uk","Cruiser","Core Values","-10.0% Incoming damage to your citadel","Burn It Down XXL","+2.0% Chance of a fire being caused by HE shells","Ingenious","-7.0% Incoming splash damage | +160.0% Traverse speed of cruiser's guns (cruiser)","Piercer","+4.0% Penetration multiplier","Before It's Too Late","+15.0% Torpedo detectability range","Full Speed Ahead","+5.0% Maximum cruiser speed (cruiser) | -10.0% Rudder shift time","","","Velocious","+5.0% Maximum movement speed","Sponge","-6.0% Incoming damage for cruisers (cruiser) | +20.0% Armaments HP | -20.0% Armaments repair time","Light Fortress","-8.0% Incoming damage for cruisers (cruiser)","Steer Clear","-7.0% Rudder shift time | -7.0% Steering gear repair time","Acoustic Chamber","-35.0% Sonar reload time | +5.0% Sonar duration | +200.0% Sonar charges","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","By the Book","-15.0% Damage Control Party reload time | +10.0% Damage Control Party duration | -20.0% Incoming damage for cruisers (cruiser) @L4.5","",""
"Willis Lee","usa","Battleship","Don't Let It Spill","-3.0% Damage Control Party reload time | -20.0% Flooding Duration","Not the One for Nuisance","-8.0% Risk of catching fire | -8.0% Risk of flooding and torpedo damage to the citadel","Brawler","-10.0% Reload time of battleship's main guns (battleship) | +15.0% Torpedo detectability range | -10.0% Range of battleships main guns (battleship) [PENALTY]","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Crisscross","+500.0% Traverse speed of destroyer's guns (destroyer) | +200.0% Traverse speed of cruiser and battleship guns (battleship)","Porcupine","+12.0% Range of secondary guns | +15.0% Shell grouping of secondary battery | -18.0% Dispersion of secondary battery","","","On Second Thought...","-55.0% Shell type switch time | +5.0% Main battery reload time","Firefighter","-15.0% Damage Control Party reload time | -15.0% Risk of catching fire | -40.0% Damage Control Party duration [PENALTY]","","","Reaching Out XXL","+8.0% Range of main guns","Master Mechanic","+10.0% Amount of HP recovered | +200.0% Repair Party charges","Properly Meticulous","-15.0% Secondary battery reload time | +40.0% Duration of Enhanced Secondary Targeting | -12.0% Secondary battery dispersion | +20.0% Secondary Battery survivability","Will to Rebuild","+110.0% Amount of HP recovered | -50.0% Repair Party duration [PENALTY] | +0.3% Rate of repair per second @L3.5 | +20.0% Auto-repair when HP equal to or less than @L3.5","Running with Scissors","-10.0% Rudder shift time | +160.0% Traverse speed of battleship's guns (battleship) | +3.0% Dispersion of main battery [PENALTY] | +15.0% Battleship's main gun damage (battleship) @L8","Fight Fire with Fire","-15.0% Burning damage to your ship per active fire | +0.0% Remove damage over time effects from your ship whenever there are 3 concurrent fires"
"Yevgeni Preobrazhensky","ussr","Aircraft Carrier","Seasoned Professional","-3.0% Damage Control Party Reload time","Contact Is Imminent","+500.0% Torpedo speed","Swatting at Flies","+20.0% Your aircraft carrier's average AA damage per second (aircraft carrier) | +5.0% Increase destroyer SAP shell damage (destroyer)","No-Fly Zone","+15.0% Your ship's average AA damage per second | +5.0% Your ship's AA guns firing range","Stronghold","-8.0% Incoming damage to your aircraft carrier (aircraft carrier)","One-Way Ticket","+4.0% Torpedo Damage","","","Impervious","-20.0% Fire damage to your aircraft carrier (aircraft carrier) | -20.0% Flooding damage to your aircraft carrier (aircraft carrier)","Out of Sight","-8.0% Detectability of dive bombers | +16.0% Dive bombers HP","Hidden Threat","-8.0% Detectability of torpedo bombers | +16.0% Torpedo bombers HP","Dark Silhouette","-12.0% Detectability of Aircraft Carriers (aircraft carrier)","Burn, Baby, Burn!","+8.0% Chance of a fire being caused by the aircraft carrier's HE bombs (aircraft carrier) | +4.0% Aircraft carrier's HE bombs damage (aircraft carrier)","","","Fully Packed","+100.0% Consumable charges | -5.0% Reload time of consumables | -20.0% Reload time of all consumables @L3.5","Torpedo Master","+500.0% Torpedo speed | -20.0% Incoming damage to your aircraft carrier (aircraft carrier) @L7.5","",""
